Reference,London Borough Name,Attendant Location,Severity,Number Of Casualties,Number Of Vehicles,Date,Day,Time,Highway,Road Class 1,Road Number 1,Road Type,Speed Limit,Junction Detail,Junction Control,Road Class 2,Road Number 2,Pedestrian Crossing,Light Condition Band,Weather,Road Surface,Special Conditions,Carriage Way Hazard,Easting,Northing,Longitude,Latitude,Ward Code,Ward Name,Spatial Accuracy,Location,Socrata ID,Last Uploaded,Organisation URI
0106EO41230,CAMDEN,SOUTHAMPTON ROW J/W BLOOMSBURY PLACE,3 Slight,1,1,15/11/2006 09:40:00 AM,Wednesday,9.40,3 Bor,TLRN,4200,6 Single Cwy,2 30 MPH,3 T/Stag Jun,4 Give Way/Uncontrolled,C,0,1 Zebra,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,530380,181770,-0.12224,51.51982,E05000138,Holborn and Covent Garden,Unknown,"(51.51982, -0.12224)",33050,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41231,CAMDEN,NFL KILBURN HIGH RD 37M NW FROM J/W THE TERRACE,3 Slight,1,2,17/11/2006 12:46:00 PM,Friday   ,12.46,3 Bor,TLRN,5,6 Single Cwy,2 30 MPH,0 No Jun In 20m,-2 Not Applicable,-2 Not Applicable,0,0 No Xing Facility In 50m,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,525120,184010,-0.197216,51.54114,,,Unknown,"(51.54114, -0.197216)",33049,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41233,CAMDEN,GRAFTON RD J/W ATHLONE ST,3 Slight,1,2,07/11/2006 03:35:00 PM,Tuesday  ,15.35,3 Bor,C,0,6 Single Cwy,2 30 MPH,3 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50m,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,528590,184930,-0.146871,51.548628,E05000139,Kentish Town,Unknown,"(51.548628, -0.146871)",33048,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41234,CAMDEN,KINGSGATE RD J/W DYNHAM RD,3 Slight,1,2,08/11/2006 09:15:00 AM,Wednesday,9.15,3 Bor,Unclassified,0,6 Single Cwy,2 30 MPH,3 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50m,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,525160,184340,-0.196522,51.544096,E05000140,Kilburn,Unknown,"(51.544096, -0.196522)",33047,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41236,CAMDEN,MONTAGUE PLA 85M SW FROM J/W RUSSELL SQU,3 Slight,1,1,17/11/2006 04:26:00 PM,Friday   ,16.26,3 Bor,B,506,6 Single Cwy,2 30 MPH,0 No Jun In 20m,-2 Not Applicable,-2 Not Applicable,0,0 No Xing Facility In 50m,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,529980,181830,-0.12798,51.520452,E05000129,Bloomsbury,Unknown,"(51.520452, -0.12798)",33046,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41237,CAMDEN,TOTTENHAM COURT RD 30M NW FROM J/W WARREN ST,3 Slight,1,2,18/10/2006 10:00:00 PM,Wednesday,22.00,3 Bor,TLRN,400,2 One-Way St,2 30 MPH,0 No Jun In 20m,-2 Not Applicable,-2 Not Applicable,0,0 No Xing Facility In 50m,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,529260,182280,-0.138186,51.524661,E05000129,Bloomsbury,Unknown,"(51.524661, -0.138186)",33045,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41240,CAMDEN,HAMPSTEAD HIGH ST J/W BIRD IN HAND YARD,3 Slight,1,2,02/11/2006 02:30:00 PM,Thursday ,14.30,3 Bor,TLRN,502,6 Single Cwy,2 30 MPH,3 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,1 Zebra,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,526430,185710,-0.177726,51.556126,E05000135,Hampstead Town,Unknown,"(51.556126, -0.177726)",33044,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41242,CAMDEN,CAMDEN RD J/WSANDALL RD,3 Slight,1,1,14/11/2006 11:28:00 AM,Tuesday  ,11.28,1 TLRN,TLRN,503,6 Single Cwy,2 30 MPH,3 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50m,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,529510,184610,-0.133728,51.545542,E05000131,Cantelowes,Unknown,"(51.545542, -0.133728)",33043,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41248,CAMDEN,NFL HAMPSTEAD ROAD 50M S J/W DRUMMOND STREET,3 Slight,1,1,10/11/2006 08:22:00 AM,Friday   ,8.22,1 TLRN,TLRN,400,6 Single Cwy,2 30 MPH,0 No Jun In 20m,-2 Not Applicable,-2 Not Applicable,0,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,529220,182430,-0.138707,51.526018,E05000142,Regent's Park,Unknown,"(51.526018, -0.138707)",33042,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41249,CAMDEN,HAVERSTOCK HILL J/W GLENLOCH ROAD,3 Slight,1,1,20/10/2006 01:35:00 PM,Friday   ,13.35,3 Bor,TLRN,502,6 Single Cwy,2 30 MPH,3 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,4 Pelican Or Similar,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,527340,185090,-0.164831,51.550349,E05000128,Belsize,Unknown,"(51.550349, -0.164831)",33041,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41251,CAMDEN,HAVERSTOCK HILL J/W ASPERN GROVE,3 Slight,1,2,15/11/2006 09:00:00 PM,Wednesday,21.00,3 Bor,TLRN,502,6 Single Cwy,2 30 MPH,3 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,1 Zebra,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,527250,185180,-0.166096,51.551178,E05000128,Belsize,Unknown,"(51.551178, -0.166096)",33040,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41252,CAMDEN,HAMPSTEAD ROAD J/W VARNDELL STREET,3 Slight,1,2,16/11/2006 09:25:00 AM,Thursday ,9.25,1 TLRN,TLRN,400,6 Single Cwy,2 30 MPH,3 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50m,1 Daylight,2 Raining,2 Road-Wet,0 None,0 None,529210,182820,-0.138709,51.529525,E05000142,Regent's Park,Unknown,"(51.529525, -0.138709)",33039,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41253,CAMDEN,NFL FINCHLEY ROAD J/W CANFIELD GARDENS,3 Slight,1,1,18/10/2006 11:45:00 AM,Wednesday,11.45,1 TLRN,TLRN,41,3 Dual Cwy,2 30 MPH,3 T/Stag Jun,2 Auto Sig,C,0,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,526320,184690,-0.179678,51.546984,E05000145,West Hampstead,Unknown,"(51.546984, -0.179678)",33038,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41254,CAMDEN,HIGH HOLBORN J/W KINGSWAY,3 Slight,1,2,12/11/2006 01:30:00 AM,Sunday   ,1.30,3 Bor,TLRN,40,6 Single Cwy,2 30 MPH,6 Crossroads,2 Auto Sig,TLRN,4200,5 Pedn Phase At Ats,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,530520,181520,-0.120316,51.517541,E05000138,Holborn and Covent Garden,Unknown,"(51.517541, -0.120316)",33037,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41257,CAMDEN,BARTHOLOMEW ROAD J/W LEIGHTON ROAD,3 Slight,1,1,15/11/2006 07:55:00 AM,Wednesday,7.55,3 Bor,C,0,6 Single Cwy,2 30 MPH,3 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50m,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,529420,185180,-0.134816,51.550685,E05000139,Kentish Town,Unknown,"(51.550685, -0.134816)",33036,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41258,CAMDEN,KINGSWAY J/W WILD COURT,3 Slight,1,2,16/11/2006 01:06:00 PM,Thursday ,13.06,3 Bor,TLRN,4200,6 Single Cwy,2 30 MPH,3 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50m,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,530600,181300,-0.119245,51.515546,E05000138,Holborn and Covent Garden,Unknown,"(51.515546, -0.119245)",33035,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41259,CAMDEN,HAWLEY RD J/W KENTISH TOWN RD,3 Slight,1,2,18/11/2006 12:13:00 PM,Saturday ,12.13,3 Bor,TLRN,400,6 Single Cwy,2 30 MPH,7 Multi Jun,2 Auto Sig,TLRN,400,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,528950,184280,-0.14192,51.542705,E05000130,Camden Town with Primrose Hill,Unknown,"(51.542705, -0.14192)",33034,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41262,CAMDEN,TAVISTOCK SQUARE J/W UPPER WOBURN PL,3 Slight,1,1,08/11/2006 04:55:00 PM,Wednesday,16.55,3 Bor,TLRN,4200,6 Single Cwy,2 30 MPH,3 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,1 Zebra,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,529880,182420,-0.129203,51.525777,E05000129,Bloomsbury,Unknown,"(51.525777, -0.129203)",33033,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41263,CAMDEN,HEATH ST J/W SPANIARDS RD,3 Slight,1,2,09/11/2006 03:05:00 PM,Thursday ,15.05,3 Bor,TLRN,502,6 Single Cwy,2 30 MPH,7 Multi Jun,4 Give Way/Uncontrolled,4 B,519,1 Zebra,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,526270,186420,-0.179778,51.562542,E05000135,Hampstead Town,Unknown,"(51.562542, -0.179778)",33032,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41270,CAMDEN,FORTRESS ROAD 50M SW J/W BRECKNOCK ROAD,3 Slight,1,1,06/11/2006 01:45:00 PM,Monday   ,13.45,3 Bor,TLRN,400,6 Single Cwy,2 30 MPH,0 No Jun In 20m,-2 Not Applicable,-2 Not Applicable,0,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,529130,185810,-0.138765,51.556413,E05000139,Kentish Town,Unknown,"(51.556413, -0.138765)",33031,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41271,CAMDEN,CHALK FARM ROAD J/W FERDINAND STREET,3 Slight,2,3,18/11/2006 01:00:00 PM,Saturday ,13.00,3 Bor,TLRN,502,6 Single Cwy,2 30 MPH,6 Crossroads,2 Auto Sig,4 B,517,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,528460,184280,-0.148982,51.542816,E05000130,Camden Town with Primrose Hill,Unknown,"(51.542816, -0.148982)",33030,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41272,CAMDEN,FINCHLEY RD 51M E FROM J/W FORTUNE GREEN RD,3 Slight,2,2,16/11/2006 12:42:00 PM,Thursday ,12.42,1 TLRN,TLRN,41,6 Single Cwy,2 30 MPH,0 No Jun In 20m,-2 Not Applicable,-2 Not Applicable,0,0 No Xing Facility In 50m,1 Daylight,1 Fine,2 Road-Wet,0 None,0 None,525200,185770,-0.195437,51.556939,E05000132,Fortune Green,Unknown,"(51.556939, -0.195437)",33029,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41274,CAMDEN,ADELAIDE RD J/W WINCHESTER RD,3 Slight,1,1,19/11/2006 02:14:00 PM,Sunday   ,14.14,3 Bor,B,509,6 Single Cwy,2 30 MPH,6 Crossroads,2 Auto Sig,6 Unclassified,0,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,526911,184166,-0.171348,51.542142,E05000144,Swiss Cottage,Unknown,"(51.542142, -0.171348)",33028,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41275,CAMDEN,FINCHLEY RD J/W COLLEGE CRESCENT,3 Slight,1,2,04/12/2006 12:58:00 PM,Monday   ,12.58,1 TLRN,TLRN,41,6 Single Cwy,2 30 MPH,3 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50m,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,526420,184550,-0.178287,51.545703,E05000144,Swiss Cottage,Unknown,"(51.545703, -0.178287)",33027,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41280,CAMDEN,NFL SOUTHAMPTON ROW J/W THEOBALD'S RD,3 Slight,1,2,07/12/2006 03:33:00 AM,Thursday ,3.33,3 Bor,TLRN,4200,6 Single Cwy,2 30 MPH,7 Multi Jun,2 Auto Sig,TLRN,401,5 Pedn Phase At Ats,2 Dark,5 Raining/High Winds,2 Road-Wet,0 None,0 None,530450,181690,-0.121261,51.519085,E05000138,Holborn and Covent Garden,Unknown,"(51.519085, -0.121261)",33026,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41282,CAMDEN,HIGH HOLBORN J/W SOUTHAMPTON PLACE,3 Slight,1,1,23/11/2006 04:10:00 PM,Thursday ,16.10,3 Bor,TLRN,4200,6 Single Cwy,2 30 MPH,6 Crossroads,2 Auto Sig,TLRN,4200,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,530500,181530,-0.1206,51.517636,E05000138,Holborn and Covent Garden,Unknown,"(51.517636, -0.1206)",33025,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41283,CAMDEN,PRIORY RD J/W ABBEY RD,3 Slight,1,1,24/11/2006 10:50:00 PM,Friday   ,22.50,3 Bor,C,0,6 Single Cwy,2 30 MPH,6 Crossroads,4 Give Way/Uncontrolled,4 B,507,0 No Xing Facility In 50m,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,525630,184000,-0.189869,51.540937,E05000140,Kilburn,Unknown,"(51.540937, -0.189869)",33024,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41285,CAMDEN,CAMDEN RD J/W CAMDEN STR,3 Slight,1,2,11/11/2006 03:55:00 PM,Saturday ,15.55,1 TLRN,TLRN,503,6 Single Cwy,2 30 MPH,6 Crossroads,2 Auto Sig,TLRN,400,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,529090,184030,-0.139994,51.540426,E05000130,Camden Town with Primrose Hill,Unknown,"(51.540426, -0.139994)",33023,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41291,CAMDEN,PRINCE OF WALES RD 43M W FROM J/W TALARE RD,3 Slight,1,2,30/11/2006 04:45:00 PM,Thursday ,16.45,3 Bor,C,0,6 Single Cwy,2 30 MPH,8 Priv Drive,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50m,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,528420,184630,-0.149431,51.545971,E05000136,Haverstock,Unknown,"(51.545971, -0.149431)",33022,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0109CW10716,CAMDEN,ST EDMUND'S TERRACE J/W AVENUE ROAD,3 Slight,1,2,22/04/2009 08:26:00 PM,Wednesday,20.26,3 Bor,B,525,6 Single Cwy,2 30 MPH,6 Crossroads,4 Give Way/Uncontrolled,B,525,0 No Xing Facility In 50m,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,527370,183470,-0.164984,51.535784,,,Unknown,"(51.535784, -0.164984)",31212,04/11/2016 10:29:03 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41293,CAMDEN,NFL KENTISH TOWN ROAD J/W JEFFREY'S STREET,3 Slight,1,2,05/12/2006 09:16:00 AM,Tuesday  ,9.16,3 Bor,TLRN,400,6 Single Cwy,2 30 MPH,7 Multi Jun,2 Auto Sig,TLRN,400,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,528950,184280,-0.14192,51.542705,E05000130,Camden Town with Primrose Hill,Unknown,"(51.542705, -0.14192)",33021,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41294,CAMDEN,KINGSWAY J/W GT QUEEN ST,3 Slight,1,1,20/11/2006 04:00:00 PM,Monday   ,16.00,3 Bor,TLRN,4200,6 Single Cwy,2 30 MPH,6 Crossroads,2 Auto Sig,4 B,402,5 Pedn Phase At Ats,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,530560,181380,-0.119791,51.516274,E05000138,Holborn and Covent Garden,Unknown,"(51.516274, -0.119791)",33020,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41296,CAMDEN,NFL EUSTON ROAD 65M NE J/W NORTH GOWER STREET,2 Serious,1,2,16/10/2006 11:00:00 AM,Monday   ,11.00,1 TLRN,TLRN,501,3 Dual Cwy,2 30 MPH,0 No Jun In 20m,-2 Not Applicable,-2 Not Applicable,0,0 No Xing Facility In 50m,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,529460,182420,-0.135253,51.525873,E05000142,Regent's Park,Unknown,"(51.525873, -0.135253)",33019,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41297,CAMDEN,KENTISH TOWN RD J/W GAISFORD ST,3 Slight,1,2,02/12/2006 06:00:00 PM,Saturday ,18.00,3 Bor,TLRN,400,6 Single Cwy,2 30 MPH,3 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50m,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,528970,184870,-0.141416,51.548002,E05000139,Kentish Town,Unknown,"(51.548002, -0.141416)",33018,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41298,CAMDEN,NFL HAVERSTOCK HILL J/W BELSIZE LA,3 Slight,1,2,04/12/2006 06:45:00 PM,Monday   ,18.45,3 Bor,TLRN,502,6 Single Cwy,2 30 MPH,3 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50m,2 Dark,2 Raining,2 Road-Wet,0 None,0 None,527110,185330,-0.16806,51.552558,E05000135,Hampstead Town,Unknown,"(51.552558, -0.16806)",33017,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41299,CAMDEN,WEST END LA J/W GASCONY AVE,3 Slight,1,2,01/12/2006 11:45:00 AM,Friday   ,11.45,3 Bor,B,510,6 Single Cwy,2 30 MPH,3 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50m,1 Daylight,2 Raining,2 Road-Wet,0 None,0 None,525390,184160,-0.193271,51.542428,E05000140,Kilburn,Unknown,"(51.542428, -0.193271)",33016,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41300,CAMDEN,HAMPSTEAD ROAD J/W MORNINGTON CRESCENT,3 Slight,2,4,29/11/2006 02:00:00 PM,Wednesday,14.00,1 TLRN,TLRN,400,3 Dual Cwy,2 30 MPH,3 T/Stag Jun,2 Auto Sig,TLRN,400,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,529150,183140,-0.139456,51.532414,E05000142,Regent's Park,Unknown,"(51.532414, -0.139456)",33015,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41302,CAMDEN,HAMPSTEAD HIGH ST J/W SPENCER WALK,3 Slight,1,3,29/11/2006 08:20:00 AM,Wednesday,8.20,3 Bor,TLRN,502,6 Single Cwy,2 30 MPH,3 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,1 Zebra,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,526460,185690,-0.177301,51.555939,E05000135,Hampstead Town,Unknown,"(51.555939, -0.177301)",33014,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41309,CAMDEN,GOODGE STREET J/W WHITFIELD STREET,3 Slight,1,2,09/11/2006 08:30:00 AM,Thursday ,8.30,3 Bor,B,506,2 One-Way St,2 30 MPH,6 Crossroads,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50m,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,529530,181750,-0.134491,51.519836,E05000129,Bloomsbury,Unknown,"(51.519836, -0.134491)",33013,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41312,CAMDEN,PARKWAY J/W CAMDEN HIGH STREET,3 Slight,1,2,30/11/2006 11:10:00 AM,Thursday ,11.10,1 TLRN,TLRN,4201,6 Single Cwy,2 30 MPH,6 Crossroads,2 Auto Sig,TLRN,502,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,528900,183860,-0.142795,51.538942,E05000130,Camden Town with Primrose Hill,Unknown,"(51.538942, -0.142795)",33012,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41313,CAMDEN,EUSTON ROAD J/W HAMPSTEAD ROAD,2 Serious,1,2,08/12/2006 09:54:00 PM,Friday   ,21.54,1 TLRN,TLRN,400,3 Dual Cwy,2 30 MPH,6 Crossroads,2 Auto Sig,TLRN,501,5 Pedn Phase At Ats,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,529240,182330,-0.138456,51.525115,E05000142,Regent's Park,Unknown,"(51.525115, -0.138456)",33011,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41314,CAMDEN,FINCHLEY ROAD J/W PLATT'S LANE,3 Slight,1,2,06/12/2006 02:05:00 PM,Wednesday,14.05,1 TLRN,TLRN,41,6 Single Cwy,2 30 MPH,6 Crossroads,2 Auto Sig,C,0,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,525170,185860,-0.195838,51.557754,E05000132,Fortune Green,Unknown,"(51.557754, -0.195838)",33010,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41315,CAMDEN,EUSTON ROAD J/W HAMPSTEAD ROAD,3 Slight,1,2,30/10/2006 11:30:00 AM,Monday   ,11.30,1 TLRN,TLRN,400,3 Dual Cwy,2 30 MPH,6 Crossroads,2 Auto Sig,TLRN,501,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,529240,182330,-0.138456,51.525115,E05000142,Regent's Park,Unknown,"(51.525115, -0.138456)",33009,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41317,CAMDEN,NFL GORDON SQUARE J/W TORRINGTON SQUARE,3 Slight,1,2,29/11/2006 07:20:00 AM,Wednesday,7.20,3 Bor,C,0,6 Single Cwy,2 30 MPH,3 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50m,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,529750,182140,-0.131179,51.52329,E05000129,Bloomsbury,Unknown,"(51.52329, -0.131179)",33008,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41318,CAMDEN,LONGFIELD STREET J/W OSNABURGH STREET,3 Slight,1,2,25/11/2006 11:00:00 AM,Saturday ,11.00,3 Bor,Unclassified,0,6 Single Cwy,2 30 MPH,6 Crossroads,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50m,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,528930,182380,-0.142904,51.525635,E05000142,Regent's Park,Unknown,"(51.525635, -0.142904)",33007,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41320,CAMDEN,WEST END LANE J/W IVERSON ROAD,3 Slight,1,2,09/11/2006 06:02:00 PM,Thursday ,18.02,3 Bor,B,510,6 Single Cwy,2 30 MPH,8 Priv Drive,4 Give Way/Uncontrolled,4 B,520,4 Pelican Or Similar,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,525530,184750,-0.191043,51.547699,E05000145,West Hampstead,Unknown,"(51.547699, -0.191043)",33006,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41321,CAMDEN,NFL EVERSHOLT STREET 60M NW J/W OAKLEY SQUARE,3 Slight,1,1,18/11/2006 06:30:00 PM,Saturday ,18.30,3 Bor,TLRN,4200,6 Single Cwy,2 30 MPH,0 No Jun In 20m,-2 Not Applicable,-2 Not Applicable,0,0 No Xing Facility In 50m,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,529260,183280,-0.13782,51.533647,E05000142,Regent's Park,Unknown,"(51.533647, -0.13782)",33005,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41322,CAMDEN,NEW OXFORD ST 49M E FROM J/W EARNSHAW ST,3 Slight,1,1,23/11/2006 10:15:00 PM,Thursday ,22.15,3 Bor,TLRN,40,6 Single Cwy,2 30 MPH,0 No Jun In 20m,-2 Not Applicable,-2 Not Applicable,0,0 No Xing Facility In 50m,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,529960,181410,-0.128422,51.516682,E05000138,Holborn and Covent Garden,Unknown,"(51.516682, -0.128422)",33004,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41323,CAMDEN,NFL FARRINGDON ROAD J/W ST CROSS STREET,3 Slight,1,2,30/11/2006 01:00:00 PM,Thursday ,13.00,1 TLRN,TLRN,201,6 Single Cwy,2 30 MPH,3 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50m,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,531480,181930,-0.106335,51.521003,E05000138,Holborn and Covent Garden,Unknown,"(51.521003, -0.106335)",33003,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106EO41325,CAMDEN,CLERKENWELL RD J/W ROSEBERRY RD,3 Slight,1,2,22/11/2006 05:55:00 PM,Wednesday,17.55,3 Bor,TLRN,401,6 Single Cwy,2 30 MPH,3 T/Stag Jun,2 Auto Sig,TLRN,401,5 Pedn Phase At Ats,2 Dark,2 Raining,2 Road-Wet,0 None,0 None,531020,181990,-0.112939,51.521649,E05000138,Holborn and Covent Garden,Unknown,"(51.521649, -0.112939)",33002,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
